Date,AAPL,AI,AMAT,AMD,AMZN,ASML,BBAI,CEG,COIN,COPX,DELL,FCX,GLD,GOOGL,HPE,INTC,IREN,LIT,LRCX,META,MSFT,MSTR,MU,NEE,NRG,NVDA,OKLO,PLTR,SLV,SMCI,SOUN,SPY,TSM,VST
2020-01-02,72.40050506591797,,58.69945526123047,49.09999847412109,94.90049743652344,286.5253601074219,,,,18.14145851135254,24.189836502075195,12.277881622314451,143.9499969482422,67.92080688476562,13.350837707519531,53.66646194458008,,26.49082565307617,27.74893379211425,208.32476806640625,152.1584014892578,14.430999755859377,54.04384994506836,51.08596420288086,32.25366973876953,5.971076488494873,,,16.809999465942383,2.36299991607666,,297.6989440917969,53.779693603515625,19.930984497070312
2020-01-03,71.69664764404297,,57.765167236328125,48.59999847412109,93.74849700927734,281.9080505371094,,,,17.63338851928711,23.394147872924805,11.905824661254885,145.86000061035156,67.56548309326172,13.020578384399414,53.01372146606445,,26.127412796020508,27.45084953308105,207.22247314453125,150.2637481689453,14.357000350952148,53.20475006103515,51.44992446899414,31.754901885986328,5.875504970550537,,,16.84000015258789,2.344000101089477,,295.4447631835937,52.00613784790039,20.14042091369629
2020-01-06,72.2679443359375,,56.51946640014648,48.38999938964844,95.1439971923828,279.6655578613281,,,,17.537033081054688,23.63007545471191,11.952329635620115,147.38999938964844,69.36638641357422,12.979294776916504,52.86376190185547,,26.24217414855957,26.938514709472656,211.1252288818359,150.6521759033203,14.425000190734863,52.26808547973633,51.70682907104492,31.07324981689453,5.900145053863525,,,16.940000534057617,2.32699990272522,,296.57183837890625,51.4059944152832,19.800085067749023
2020-01-07,71.92805480957031,,58.15210723876953,48.25,95.34300231933594,282.7027587890625,,,,17.63338851928711,23.03793716430664,12.13835906982422,147.97000122070312,69.23240661621094,12.913241386413574,51.9816780090332,,26.59602165222168,27.5952377319336,211.58201599121097,149.27854919433594,14.38700008392334,56.85385894775391,51.661865234375,30.64928817749023,5.971574783325195,,,17.170000076293945,2.309999942779541,,295.738037109375,52.23902893066406,19.92225456237793
2020-01-08,73.08511352539062,,58.114356994628906,47.83000183105469,94.59850311279295,285.63592529296875,,,,17.528268814086914,23.13045883178711,12.259278297424316,146.86000061035156,69.72518157958984,13.012319564819336,52.01696014404297,,26.041337966918945,27.942689895629883,213.72705078125,151.6563262939453,14.371000289916992,56.1220817565918,51.63831329345703,30.6409854888916,5.98277473449707,,,16.93000030517578,2.306999921798706,,297.3140563964844,52.62418365478515,20.184043884277344
2020-01-09,74.63749694824219,,58.4824104309082,48.970001220703125,95.05249786376952,285.1533508300781,,,,17.43191146850586,22.954668045043945,12.054644584655762,146.02999877929688,70.45714569091797,12.938011169433594,52.308048248291016,,26.280431747436523,27.75266456604004,216.7856903076172,153.55099487304688,14.350000381469728,55.91718673706055,52.04293441772461,30.87373161315918,6.048482418060303,,,16.719999313354492,2.319999933242798,,299.3300170898437,53.054141998291016,19.948436737060547
2020-01-10,74.80621337890625,,58.01054000854492,48.16999816894531,94.15799713134766,280.2332458496094,,,,17.58083152770996,22.90378189086914,11.998836517333984,146.91000366210938,70.91220092773438,12.77288055419922,51.99049377441406,,26.500389099121097,27.41824531555176,216.54733276367188,152.84046936035156,14.23900032043457,55.29274368286133,52.14142227172851,31.01506233215332,6.080836296081543,,,16.889999389648438,2.608999967575073,,298.4687805175781,52.72272491455078,19.86117553710937
2020-01-13,76.40441131591797,,58.33141708374024,48.75,94.56500244140624,285.2196350097656,,,,17.957502365112305,23.051815032958984,12.584824562072754,145.82000732421875,71.46156311035156,12.838933944702148,52.56385803222656,,27.60974884033203,27.693044662475582,220.37066650390625,154.67825317382812,14.458999633789062,56.05377960205078,52.7515869140625,30.69085502624512,6.271485328674316,,,16.780000686645508,2.8510000705718994,,300.5213928222656,53.79759979248047,19.66046905517578
2020-01-14,75.37269592285156,,58.84101867675781,48.209999084472656,93.47200012207033,286.2602844238281,,,,18.001296997070312,23.528301239013672,12.332756042480469,145.69000244140625,70.99309539794922,12.83067798614502,52.42272567749024,,28.24094009399414,28.016281127929688,217.54039001464844,153.5888671875,14.47700023651123,56.1220817565918,53.036319732666016,31.173009872436523,6.1545090675354,,,16.6200008392334,2.7720000743865967,,300.063232421875,54.03048324584961,19.78263664245605
2020-01-15,75.04972076416016,,58.44466400146485,48.54999923706055,93.10099792480467,283.9233093261719,,,,17.69470977783203,23.408021926879883,12.118030548095703,146.5399932861328,71.42036437988281,12.789395332336426,51.99049377441406,,28.31744766235352,27.790855407714844,219.6158905029297,154.58352661132812,14.626999855041504,54.80489730834961,53.86056900024414,31.69671630859375,6.111948490142822,,,16.809999465942383,2.7699999809265137,,300.7413635253906,52.301734924316406,19.83499336242676
2020-01-16,75.98980712890625,,59.65262222290039,49.77000045776367,93.89700317382812,284.8695068359375,,,,17.66843032836914,23.75035858154297,11.996664047241213,146.30999755859375,71.96426391601562,13.020578384399414,52.6255989074707,,28.546974182128903,28.499736785888672,220.23162841796875,157.4160614013672,14.67199993133545,56.2781982421875,54.0082893371582,32.104034423828125,6.195575714111328,,,16.770000457763672,2.861000061035156,,303.2430114746094,52.62418365478515,20.245132446289062
2020-01-17,76.83110046386719,,59.3128776550293,50.93000030517578,93.23600006103516,283.88543701171875,,,,17.834863662719727,23.28774642944336,12.015334129333496,146.5800018310547,73.42124938964844,12.467387199401855,52.57266998291016,,28.72867774963379,28.69070053100586,220.5990447998047,158.29702758789062,14.673999786376951,56.25868606567383,54.25020980834961,32.037532806396484,6.204286098480225,,,16.81999969482422,2.867000102996826,,304.18682861328125,52.47191619873047,20.018251419067383
2020-01-21,76.31040954589844,,59.643192291259766,51.04999923706055,94.5999984741211,282.3338317871094,,,,17.25672149658203,22.802005767822266,11.455181121826172,146.74000549316406,73.55673217773438,12.302254676818848,53.41065979003906,,28.56609916687012,28.754039764404297,219.9038848876953,157.7285919189453,14.595000267028809,57.53683853149414,54.99738693237305,32.02091217041016,6.17093563079834,,,16.639999389648438,2.858999967575073,,303.5911865234375,52.1673698425293,19.81753730773925
2020-01-22,76.58281707763672,,60.29434585571289,51.43000030517578,94.3730010986328,280.2995300292969,,,,17.107805252075195,23.10270500183105,11.501858711242676,146.7899932861328,73.63712310791016,12.409591674804688,55.3336181640625,,28.661731719970703,29.00182342529297,219.7847442626953,156.97080993652344,14.592000007629396,57.73197937011719,55.64177703857422,32.153907775878906,6.224942207336426,,,16.65999984741211,2.9100000858306885,,303.6278381347656,52.265892028808594,19.843713760375977
2020-01-23,76.95162963867188,,60.29434585571289,51.709999084472656,94.22899627685548,278.4734802246094,,,,16.661056518554688,23.30162811279297,11.17510223388672,147.1199951171875,73.67780303955078,12.516925811767578,55.85405731201172,,28.72867774963379,29.10243034362793,218.2355499267578,157.93704223632812,14.574000358581545,57.761260986328125,55.680320739746094,32.311851501464844,6.293386459350586,,,16.610000610351562,2.878999948501587,,303.9760437011719,51.48660659790039,20.03569602966309
